# X , Y , E , DX
1
0.00304279,0,0,0
0.00483519,0,0,0
0.00662759,12.1514,0.233097,0.00319187
0.00841999,12.1073,0.0864102,0.00327381
0.0102124,12.3059,0.0597595,0.00347249
0.0120048,12.0761,0.0532022,0.0036571
0.0137972,11.701,0.0469169,0.00348696
0.0155896,11.2224,0.0389782,0.0034562
0.017382,10.9789,0.0353277,0.00348478
0.0191744,10.5249,0.029964,0.00355667
0.0209668,10.1457,0.0283361,0.00356492
0.0227592,9.82722,0.0271823,0.00360083
0.0245516,9.39402,0.0256576,0.0035917
0.026344,9.03483,0.023388,0.0035522
0.0281364,8.719,0.0221322,0.0035619
0.0299288,8.38864,0.0219911,0.00359745
0.0317212,8.14559,0.0206712,0.00356571
0.0335136,7.92147,0.0200646,0.00359512
0.035306,7.64519,0.0193157,0.00362565
0.0370984,7.42029,0.0179346,0.00359534
0.0388908,7.19161,0.0174613,0.00360321
0.0406832,6.92417,0.0169452,0.00359298
0.0424756,6.70155,0.0158666,0.00357305
0.044268,6.47498,0.0154963,0.00359357
0.0460604,6.24858,0.0146617,0.0036058
0.0478528,6.0513,0.0139237,0.0035946
0.0496452,5.84635,0.0135259,0.00360238
0.0514376,5.65811,0.0130974,0.00361771
0.05323,5.49508,0.0122711,0.00362005
0.0550224,5.3038,0.0120113,0.00363419
0.0568148,5.1322,0.0116104,0.00364297
0.0586072,4.96995,0.0110807,0.00363313
0.0603996,4.79655,0.010741,0.00364494
0.062192,4.63584,0.0104136,0.00366366
0.0639844,4.49248,0.00999086,0.00366641
0.0657768,4.33233,0.00973492,0.00365393
0.0675692,4.17464,0.00950324,0.00367784
0.0693616,4.02733,0.00896554,0.00367521
0.071154,3.90919,0.00878414,0.00369652
0.0729464,3.76991,0.00852678,0.00369838
0.0747388,3.63942,0.0082487,0.003692
0.0765312,3.50968,0.00796772,0.00370322
0.0783236,3.39057,0.00777604,0.00372007
0.080116,3.25238,0.00742511,0.00372074
0.0819084,3.13411,0.00725752,0.00372646
0.0837008,3.02532,0.00706575,0.00374014
0.0854932,2.93078,0.00679812,0.00373742
0.0872856,2.80778,0.00660854,0.00375762
0.089078,2.70393,0.0064199,0.00376676
0.0908704,2.61097,0.00624127,0.00377562
0.0926628,2.51167,0.00614207,0.00378186
0.0944552,2.41526,0.00596499,0.00379848
0.0962476,2.32928,0.00572038,0.00380389
0.09804,2.23239,0.00561459,0.00382291
0.0998324,2.14239,0.00543272,0.00382386
0.101625,2.05417,0.00527803,0.00382247
0.103417,1.98197,0.00511372,0.00383914
0.10521,1.90396,0.00496639,0.00386135
0.107002,1.82749,0.00485109,0.00385843
0.108794,1.74639,0.00472598,0.00387661
0.110587,1.67949,0.0046399,0.00388389
0.112379,1.61313,0.00444514,0.00388908
0.114172,1.54713,0.00433941,0.00390476
0.115964,1.47961,0.00423486,0.00391218
0.117756,1.40879,0.00407596,0.00391862
0.119549,1.35451,0.00396678,0.00392674
0.121341,1.29812,0.00385829,0.00394312
0.123134,1.23204,0.0037041,0.00394623
0.124926,1.18008,0.00361789,0.00395588
0.126718,1.13023,0.0035455,0.0039644
0.128511,1.08324,0.00340996,0.00397197
0.130303,1.03489,0.00331936,0.00398447
0.132096,0.988784,0.00321776,0.00399384
0.133888,0.944493,0.00312863,0.00399887
0.13568,0.899206,0.00303273,0.00401213
0.137473,0.854135,0.0029337,0.00403138
0.139265,0.821868,0.00285475,0.0040339
0.141058,0.780165,0.00277862,0.00404546
0.14285,0.748057,0.00269782,0.00405805
0.144642,0.714389,0.00261664,0.0040712
0.146435,0.680692,0.00252514,0.00408301
0.148227,0.64797,0.00246296,0.00410375
0.15002,0.617417,0.00239006,0.0041022
0.151812,0.584336,0.00232304,0.00411315
0.153604,0.556827,0.00225483,0.00412935
0.155397,0.530221,0.00217618,0.00414916
0.157189,0.505304,0.00213208,0.00416098
0.158982,0.482416,0.00209268,0.00416511
0.160774,0.457269,0.00201506,0.00417545
0.162566,0.435475,0.00195685,0.00419708
0.164359,0.412755,0.00190991,0.00421986
0.166151,0.395654,0.0018502,0.00422149
0.167944,0.377198,0.00180015,0.00423834
0.169736,0.361977,0.00175677,0.00425381
0.171528,0.339823,0.00169333,0.00425798
0.173321,0.324017,0.0016569,0.00429674
0.175113,0.309318,0.00161207,0.00429033
0.176906,0.292918,0.00156775,0.00430859
0.178698,0.278783,0.0015345,0.0043369
0.18049,0.262887,0.00147929,0.00433807
0.182283,0.251217,0.00144789,0.00436515
0.184075,0.240026,0.00140869,0.00437554
0.185868,0.228347,0.00138952,0.00437485
0.18766,0.218039,0.00133865,0.00440434
0.189452,0.211019,0.00131351,0.00442204
0.191245,0.200491,0.00129005,0.0044208
0.193037,0.191157,0.00125425,0.0044453
0.19483,0.181449,0.00123825,0.0044468
0.196622,0.172357,0.00119929,0.00447166
0.198414,0.165749,0.00116715,0.00450217
0.200207,0.160259,0.00115532,0.00450298
0.201999,0.153326,0.00111753,0.00451761
0.203792,0.1453,0.00110445,0.00454463
0.205584,0.139926,0.00107755,0.00454632
0.207376,0.134482,0.00106716,0.00457228
0.209169,0.130932,0.0010381,0.00458508
0.210961,0.125933,0.00102293,0.00459176
0.212754,0.121428,0.00100157,0.0046225
0.214546,0.117245,0.000986657,0.00463033
0.216338,0.11275,0.000978907,0.00463922
0.218131,0.110084,0.000968617,0.00465393
0.219923,0.106789,0.000947069,0.00468276
0.221716,0.102973,0.000925431,0.00469029
0.223508,0.100105,0.000914886,0.00471607
0.2253,0.098112,0.000908181,0.00472864
0.227093,0.0946314,0.000893949,0.00474537
0.228885,0.0930376,0.000884267,0.00475969
0.230678,0.091891,0.000869015,0.00477621
0.23247,0.0876037,0.000867021,0.00478191
0.234262,0.0876933,0.000860454,0.00479806
0.236055,0.0867616,0.000847117,0.00482765
0.237847,0.0859523,0.000835923,0.00484403
0.23964,0.084552,0.000837571,0.00485266
0.241432,0.0815064,0.00082816,0.00486681
0.243224,0.080824,0.000824063,0.00489878
0.245017,0.0799523,0.000819927,0.00491442
0.246809,0.0796857,0.000812542,0.00493751
0.248602,0.0793085,0.000813011,0.00496257
0.250394,0.0781194,0.000810303,0.00499534
0.252186,0.0781615,0.000808172,0.00500294
0.253979,0.0779878,0.000797407,0.00503963
0.255771,0.0772021,0.000814511,0.00505141
0.257564,0.0762453,0.000817221,0.00507972
0.259356,0.0773125,0.000808236,0.00508864
0.261148,0.0762057,0.000808539,0.00511233
0.262941,0.0750905,0.000816068,0.00515052
0.264733,0.0767182,0.000818345,0.00517936
0.266526,0.075501,0.00081423,0.00521038
0.268318,0.0767733,0.000836206,0.005218
0.27011,0.0760611,0.000824991,0.00526217
0.271903,0.0755341,0.000831289,0.00529512
0.273695,0.075297,0.00083958,0.00531715
0.275488,0.0759734,0.000867753,0.00534523
0.27728,0.0762715,0.000864345,0.0053741
0.279072,0.0765619,0.000858449,0.0054271
0.280865,0.0752134,0.000884014,0.00544082
0.282657,0.0772322,0.000905482,0.00544974
0.28445,0.0764248,0.00090284,0.00549345
0.286242,0.0769284,0.000916139,0.00552227
0.288034,0.0752747,0.00091589,0.00557245
0.289827,0.0772005,0.000950607,0.00558158
0.291619,0.0752803,0.000955245,0.00563863
0.293412,0.0773204,0.000952669,0.00565345
0.295204,0.0761061,0.000994887,0.00569626
0.296996,0.075231,0.00100532,0.00572223
0.298789,0.0758251,0.000992355,0.00575581
0.300581,0.0749106,0.00102646,0.0057971
0.302374,0.0759892,0.00105214,0.00582245
