GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 10% Silica 
Start: 23-Aug-23  22:37:16   End: 23-Aug-23  22:47:16 
  
Foreground:  169688 , Loaded: 169687{5} 
Background:  169686 , Loaded: 169686 
Blocked Beam:  169685 , Loaded: 169685 
  
Beam Centre1 :  Cx = 65.3644  Cy = 125.6666       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.0077       Cm Translation :  Tx = 10.0624  Ty = 0 [mm] 
Transmissions:  Ts = 0.6046 +/- 0.011167  Te = 0.9931 +/- 0.015857 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 3 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:5 
Numor:  169688 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00167837	1782.38680967	16.96227575	0.00042834
0.00189293	1862.17247486	13.18544083	0.00044824
0.00211466	1960.55147473	10.44667408	0.00045817
0.00232519	2055.75985548	9.89190008	0.00046605
0.00252389	2129.97008761	9.86463525	0.00047128
0.00272644	2167.26597061	9.35639863	0.00047247
0.00293092	2201.83067119	9.22558619	0.00047123
0.00316183	2174.00027411	7.84947734	0.00047671
0.00341639	2081.35127182	7.34661569	0.00048091
0.00365358	1931.46475601	7.20719910	0.00048005
0.00389382	1738.02846114	6.04441785	0.00048621
0.00415416	1484.43381357	5.18762883	0.00049200
0.00441465	1232.32624919	4.52667655	0.00049474
0.00465258	1011.06318515	4.18904205	0.00049423
0.00487908	833.64788094	3.55057438	0.00050093
0.00511464	658.77083072	2.95870368	0.00050329
0.00536235	519.63914384	2.43921703	0.00050910
0.00560635	399.73760642	2.16177174	0.00051229
0.00584470	308.18010168	1.78496720	0.00051725
0.00609169	229.23425113	1.47816024	0.00052243
0.00633262	168.64647805	1.27644091	0.00052660
0.00656640	124.90461252	1.06609468	0.00053146
0.00682243	89.69677257	0.81222985	0.00053915
0.00708758	58.66463020	0.67510434	0.00054261
0.00734471	39.67960988	0.53581990	0.00054944
0.00760147	26.36449143	0.43918024	0.00055491
0.00786951	19.04260564	0.34845809	0.00056169
0.00815070	14.83652389	0.30679227	0.00056919
0.00842205	14.51197747	0.30601895	0.00057390
0.00868298	15.30080035	0.31296330	0.00058038
0.00894817	16.83419844	0.31367419	0.00058764
0.00921559	18.64092392	0.33058746	0.00059511
0.00950183	20.80468959	0.31454651	0.00060245
0.00979418	21.14236744	0.33244547	0.00061046
0.01006974	21.12070893	0.32625189	0.00061741
0.01035363	20.33310796	0.30738496	0.00062690
0.01065288	18.88686149	0.28426105	0.00063443
0.01094878	16.83428549	0.27581904	0.00064176
0.01124797	14.87306393	0.24450493	0.00065111
0.01156283	12.03527856	0.21658193	0.00066106
0.01188895	9.69466824	0.18773109	0.00067162
0.01221065	7.29209218	0.16991581	0.00067915
0.01252724	5.50344149	0.14552453	0.00069048
0.01286432	4.22849922	0.12196743	0.00070244
0.01319983	3.66500941	0.11738427	0.00071058
0.01352117	3.54437353	0.11547081	0.00072094
0.01386354	3.50721360	0.10665779	0.00073321
0.01421557	3.72216171	0.11148045	0.00074267
0.01455441	4.04846546	0.11587903	0.00075348
0.01490452	4.55581759	0.12101116	0.00076231
0.01526747	4.74731451	0.12090951	0.00077558
0.01562992	4.77843567	0.12372512	0.00078227
0.01599881	4.79905888	0.12977534	0.00079548
0.01637296	4.30728692	0.13652392	0.00080855
0.01675147	4.00140120	0.13922605	0.00082104
0.01713884	3.49131653	0.13883625	0.00083458
0.01753375	2.84704961	0.13434568	0.00084807
0.01793978	2.50098634	0.13401392	0.00086232
0.01835039	1.89730808	0.12384553	0.00087633
0.01876572	1.79309767	0.13708514	0.00089563
0.01918821	1.50582847	0.14077993	0.00091023
0.01961963	1.43461232	0.14199056	0.00092477
0.02005429	1.58016578	0.17445978	0.00093756
0.02049679	1.31587070	0.17677169	0.00095574
0.02093706	1.58834169	0.24201180	0.00097902
0.02138415	1.27606939	0.30027039	0.00099327
0.02183309	1.01007313	0.42732634	0.00101736
0.02225491	1.82864593	0.80806505	0.00112186
0.02291934	1.35847144	0.12602835	0.00156023
0.02352589	1.19854449	0.05488085	0.00157868
0.02425831	1.11003499	0.06459695	0.00160203
0.02514023	1.01375673	0.06126701	0.00162863
0.02609043	1.01859066	0.05044659	0.00164942
0.02675801	0.95519319	0.04657914	0.00167124
0.02757520	0.94677567	0.05926965	0.00169900
0.02823665	0.87426859	0.05678707	0.00171692
0.02905063	0.87588356	0.03611849	0.00173862
0.02988455	0.85203256	0.04393669	0.00176588
0.03087061	0.75572285	0.03788686	0.00179339
0.03188336	0.71158521	0.03002429	0.00182105
0.03279569	0.73776578	0.03554270	0.00184904
0.03365152	0.71913741	0.04015356	0.00187690
0.03457412	0.73057477	0.02807457	0.00190418
0.03547264	0.68605482	0.03316598	0.00194010
0.03641938	0.71510230	0.03176398	0.00197151
0.03739729	0.67968894	0.02649812	0.00199662
0.03822767	0.71170628	0.03046490	0.00201918
0.03920004	0.63008992	0.02886151	0.00205076
0.04026764	0.70880462	0.02306784	0.00209077
0.04136719	0.62112379	0.02537634	0.00212641
0.04252533	0.68130883	0.02510415	0.00216647
0.04340472	0.66914091	0.02428763	0.00219795
0.04443378	0.63034553	0.02420974	0.00223170
0.04556982	0.61286886	0.02174703	0.00227037
0.04662095	0.64526862	0.02101870	0.00230448
0.04782289	0.62809268	0.02328196	0.00234495
0.04894083	0.63737693	0.01864609	0.00238632
0.05016699	0.64103304	0.02260935	0.00243193
0.05132355	0.60856314	0.01904018	0.00246622
0.05241794	0.65190057	0.02021251	0.00250972
0.05370004	0.61868869	0.01942550	0.00255016
0.05478828	0.63022081	0.01826064	0.00259455
0.05600372	0.62516892	0.02025810	0.00263502
0.05719173	0.63389680	0.01736043	0.00268303
0.05851632	0.63669639	0.01740219	0.00273682
0.05996002	0.62202955	0.01588795	0.00278310
0.06122543	0.64218341	0.01820461	0.00283387
0.06266722	0.64236271	0.01513942	0.00287872
0.06406815	0.63612061	0.01641491	0.00293649
0.06551866	0.60098482	0.01512303	0.00298210
0.06683446	0.63003708	0.01574248	0.00303406
0.06830811	0.62958866	0.01502261	0.00309565
0.06972957	0.63743144	0.01467640	0.00314398
0.07128263	0.61815775	0.01420023	0.00320325
0.07275906	0.63602144	0.01421974	0.00326225
0.07438305	0.63566439	0.01324251	0.00331949
0.07592476	0.61492075	0.01431575	0.00338289
0.07745672	0.59997394	0.01252518	0.00344457
0.07915248	0.60972505	0.01281185	0.00350586
0.08078680	0.63651662	0.01229178	0.00356630
0.08254447	0.62883625	0.01281441	0.00363948
0.08415565	0.61250588	0.01217836	0.00369463
0.08597280	0.61926743	0.01147567	0.00377046
0.08770625	0.63114898	0.01260464	0.00383954
0.08945044	0.62367251	0.01086664	0.00390699
0.09141581	0.62741061	0.01124328	0.00397880
0.09324101	0.62552415	0.01114502	0.00405241
0.09513796	0.64358616	0.01062815	0.00413133
0.09719170	0.62430709	0.01041409	0.00420488
0.09907218	0.60828422	0.01067482	0.00428298
0.10107387	0.63183163	0.00979242	0.00436446
0.10321866	0.61284770	0.00988603	0.00444699
0.10526029	0.63169842	0.00988942	0.00453100
0.10736591	0.61177764	0.00929688	0.00460658
0.10960245	0.62582612	0.00920153	0.00469978
0.11181770	0.62393502	0.00920324	0.00479082
0.11402125	0.61387499	0.00899238	0.00487957
0.11627293	0.63331815	0.00881755	0.00496425
0.11864766	0.62519422	0.00851011	0.00505291
0.12108784	0.61381240	0.00825258	0.00514560
0.12352229	0.61311652	0.00823764	0.00524641
0.12594785	0.60488457	0.00796846	0.00534624
0.12837363	0.61811416	0.00809196	0.00543442
0.13090891	0.61584825	0.00757626	0.00553967
0.13355842	0.61968374	0.00756816	0.00564904
0.13625455	0.62284372	0.00730910	0.00575887
0.13901428	0.60703184	0.00719620	0.00587132
0.14173130	0.61525195	0.00722580	0.00598391
0.14451538	0.60118248	0.00684489	0.00608387
0.14740589	0.60718676	0.00676978	0.00619966
0.15034654	0.61290975	0.00664685	0.00632160
0.15331398	0.60284060	0.00654350	0.00644437
0.15632392	0.60617887	0.00637291	0.00656790
0.15938311	0.59621803	0.00632189	0.00669207
0.16250607	0.59878750	0.00619955	0.00681164
0.16571816	0.59610027	0.00618869	0.00694461
0.16892924	0.59925681	0.00616969	0.00707707
0.17225442	0.60415762	0.00602317	0.00721338
0.17562111	0.60603362	0.00610866	0.00734967
0.17906112	0.59936458	0.00595904	0.00748687
0.18260599	0.60332370	0.00603018	0.00763356
0.18618836	0.60283636	0.00604465	0.00778152
0.18979805	0.59990087	0.00605537	0.00793011
0.19351739	0.59281119	0.00591511	0.00807270
0.19734449	0.59117095	0.00585039	0.00822941
0.20122145	0.59155295	0.00594051	0.00838980
0.20509745	0.58745130	0.00591078	0.00854995
0.20909340	0.59364089	0.00576633	0.00871489
0.21318848	0.59438072	0.00586792	0.00888316
0.21735228	0.59062306	0.00573714	0.00905289
0.22156870	0.58848840	0.00573012	0.00922074
0.22589656	0.59438681	0.00570354	0.00939973
0.23028897	0.59381026	0.00563840	0.00957217
0.23481682	0.58983445	0.00559568	0.00975884
0.23931782	0.58259910	0.00560375	0.00994408
0.24399259	0.58950981	0.00546891	0.01013586
0.24869816	0.59194004	0.00557483	0.01032668
0.25353284	0.58165817	0.00532845	0.01052664
0.25853466	0.59558936	0.00544051	0.01073335
0.26354365	0.58111460	0.00531861	0.01094020
0.26860831	0.58863622	0.00535143	0.01114919
0.27380787	0.58265713	0.00522466	0.01136355
0.27916736	0.59823333	0.00524819	0.01157516
0.28458158	0.58577893	0.00519882	0.01179681
0.29009959	0.59927799	0.00517013	0.01202189
0.29574946	0.59514827	0.00513842	0.01225533
0.30128049	0.59538798	0.00591053	0.01248359
0.30712435	0.58707591	0.00674951	0.01272461
0.31306903	0.58554500	0.00770311	0.01296962
0.31912319	0.58870824	0.00916655	0.01321890
0.32524168	0.57256213	0.01125711	0.01346520
0.33131426	0.58150187	0.01697381	0.01371364
0.33699068	0.60563956	0.03647599	0.01393690
