GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 30% Silica 
Start: 24-Aug-23  00:41:34   End: 24-Aug-23  00:46:34 
  
Foreground:  169707 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.70082 +/- 0.0069935  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 5 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169707 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00272172	648.99491437	4.93049288	0.00078731
0.00319474	974.17949807	3.76495481	0.00088390
0.00366965	1394.76080602	4.03906617	0.00089081
0.00414327	1688.42258666	4.30487381	0.00089603
0.00458226	1690.81442607	4.47411490	0.00089590
0.00498273	1461.39558832	3.87805689	0.00089525
0.00542912	1036.60830611	2.58269769	0.00090873
0.00588706	610.40716563	1.89799070	0.00091017
0.00630323	334.12353385	1.26424479	0.00091616
0.00671498	174.12686454	0.84795254	0.00091907
0.00713090	91.37742736	0.57437040	0.00092567
0.00755704	47.48148354	0.39097256	0.00093117
0.00800157	26.66669479	0.27585079	0.00093752
0.00846313	18.52385910	0.22081767	0.00094478
0.00891711	16.96099977	0.21162983	0.00095140
0.00936078	18.79871512	0.21614288	0.00095457
0.00979898	20.10406016	0.22226298	0.00096431
0.01023060	20.54987313	0.21984353	0.00097170
0.01065650	19.15730032	0.20999862	0.00097854
0.01109196	16.91364910	0.18719587	0.00098850
0.01157029	13.60135453	0.15437236	0.00100196
0.01203953	10.48511965	0.14493198	0.00100506
0.01247554	7.85204950	0.12138078	0.00101632
0.01292500	5.70546970	0.10053070	0.00102717
0.01337917	4.49883627	0.08822368	0.00103524
0.01388509	4.17923103	0.07530187	0.00104751
0.01443181	4.39202113	0.07672670	0.00106036
0.01497947	4.80501774	0.07758169	0.00107600
0.01549965	5.29369343	0.08586431	0.00108415
0.01598184	5.24919829	0.08431427	0.00109545
0.01646613	4.94253901	0.08012309	0.00110677
0.01695976	4.50805407	0.07439165	0.00111895
0.01746602	3.94912114	0.06781721	0.00113555
0.01801895	3.20976512	0.05629760	0.00115125
0.01858054	2.37582129	0.05031774	0.00116300
0.01910770	1.95124491	0.04590893	0.00117694
0.01965039	1.63112659	0.03979148	0.00119381
0.02023706	1.40999746	0.03536330	0.00121371
0.02082713	1.42295295	0.03590449	0.00122796
0.02139010	1.43401687	0.03595125	0.00124134
0.02196818	1.31867159	0.03290296	0.00125904
0.02255653	1.32975621	0.03332760	0.00127736
0.02313200	1.21648318	0.03157284	0.00129457
0.02371583	1.13073069	0.02978818	0.00131194
0.02431045	1.04101337	0.02815807	0.00132953
0.02491384	1.02077376	0.02709017	0.00134847
0.02555525	0.99829554	0.02541751	0.00137305
0.02620400	1.03576521	0.02634134	0.00138961
0.02685413	0.99604880	0.02463982	0.00141309
0.02751624	0.94304805	0.02418959	0.00143252
0.02817524	0.94542637	0.02347046	0.00144899
0.02886832	0.88238201	0.02218579	0.00147605
0.02960799	0.79673164	0.02190375	0.00148535
0.03033441	0.74153477	0.02260141	0.00150870
0.03104727	0.70942606	0.02359692	0.00153392
0.03176368	0.70893454	0.02565474	0.00155848
0.03249423	0.68459367	0.02600831	0.00159207
0.03325110	0.65153367	0.02721347	0.00161788
0.03400926	0.61705016	0.02823463	0.00164449
0.03477287	0.61311364	0.02973455	0.00167081
0.03556236	0.63167076	0.03132038	0.00169763
0.03636787	0.63043843	0.03435098	0.00172567
0.03717364	0.68649709	0.03818733	0.00175309
0.03800250	0.66163302	0.04101109	0.00179090
0.03884160	0.54030250	0.04263775	0.00181544
0.03968737	0.55450673	0.04956467	0.00185625
0.04054383	0.58581682	0.06456687	0.00188558
0.04134171	0.69045459	0.11485173	0.00192306
0.04209943	0.60797351	0.20954532	0.00228343
0.04357281	0.55386736	0.02899216	0.00299610
0.04504400	0.55502790	0.01673421	0.00302280
0.04644673	0.60288805	0.02138017	0.00306757
0.04813570	0.57033992	0.02073300	0.00311850
0.04995502	0.56628650	0.01685593	0.00315829
0.05123348	0.54100260	0.01562613	0.00320006
0.05287986	0.55836220	0.01904178	0.00325694
0.05443269	0.54104542	0.01872297	0.00329920
0.05591854	0.55372177	0.01247207	0.00334216
0.05760077	0.52963101	0.01623574	0.00339849
0.05916830	0.57338512	0.01695730	0.00343640
0.06099417	0.54690960	0.01137124	0.00348538
0.06278691	0.56118287	0.01389011	0.00354080
0.06458726	0.54201363	0.01426636	0.00359981
0.06635140	0.56204149	0.01119062	0.00365211
0.06811121	0.55121156	0.01241175	0.00372295
